,formatted_rules,cleaned_rules,lang
595,"Content that is spammy, racist, sexist, hateful, or discriminating in any way is forbidden.",content that is spammy racist sexist hateful or discriminating in any way is forbidden,English
596,"Stalking and harassment is forbidden, if someone doesn’t want to have anything to do with you, leave them alone.",stalking and harassment is forbidden if someone doesnt want to have anything to do with you leave them alone,English
597,"""Screenshot dunking"", or taking screenshots of posts to repost, is strongly discouraged, and may lead to admin action.",screenshot dunking or taking screenshots of posts to repost is strongly discouraged and may lead to admin action,English
598,"Content warning. CW drugs and lewd posts and pictures, kinks must be listed in the CW.",content warning cw drugs and lewd posts and pictures kinks must be listed in the cw,English
599,"Content warning «Real Life» || Gore, kink and lewd content must be set as unlisted or followers only in addition to proper tagging in the CW. That is, content that includes nudes, modified photos for kink purpose (e.g. a muscle edit on a selfie), and things such as bite marks.",content warning real life gore kink and lewd content must be set as unlisted or followers only in addition to proper tagging in the cw that is content that includes nudes modified photos for kink purpose eg a muscle edit on a selfie and things such as bite marks,English
600,"Politics, religion, and other polemical subjects must be CW accordingly.",politics religion and other polemical subjects must be cw accordingly,English
601,"Requests for financial help, and similar, are welcome when under CW. However try not to spam them.",requests for financial help and similar are welcome when under cw however try not to spam them,English
602,"Do not impersonate someone, unless for parody purposes (remaining respectful). This includes using other peoples' artworks without permission. Parody accounts must be tagged as such clearly in their profile description.",do not impersonate someone unless for parody purposes remaining respectful this includes using other peoples artworks without permission parody accounts must be tagged as such clearly in their profile description,English
603,You may not create another account on this instance if your previous account has been suspended.,you may not create another account on this instance if your previous account has been suspended,English
604,You may not use an avatar or header image if it shows content that is listed to be content warned. ,you may not use an avatar or header image if it shows content that is listed to be content warned,English
605,"Don't repost artworks without crediting the artist. If you have a link to their gallery, perfect, if only their name, better than nothing. Claiming other's art as your own may lead to suspension.",dont repost artworks without crediting the artist if you have a link to their gallery perfect if only their name better than nothing claiming others art as your own may lead to suspension,English
606,We're strongly against NFTs and crypto as a whole. This isn't the place for it. AI art is tolerated as of now unless used for nefarious purposes.,were strongly against nfts and crypto as a whole this isnt the place for it ai art is tolerated as of now unless used for nefarious purposes,English
607,"Rules are Rules:
Since this is a personal server the rules are in my head.",rules are rules since this is a personal server the rules are in my head,English
608,ゆっくりしていってね,ゆっくりしていってね,non-Englsih
609,Sé amable con los demás,sé amable con los demás,non-Englsih
610,"No postees spam, amenazas, o contenido ilegal",no postees spam amenazas o contenido ilegal,non-Englsih
611,Be good to each other,be good to each other,English
612,Don't Spam,dont spam,non-Englsih
613,"Ei rasismia, seksismiä, transfobiaa, tai muuta vähemmistöihin kohdistuvaa syrjintää",ei rasismia seksismiä transfobiaa tai muuta vähemmistöihin kohdistuvaa syrjintää,non-Englsih
614,"Ei laittomuuksia
",ei laittomuuksia,non-Englsih
615,"Ei häirintää, doksausta, valheellisen tiedon levittämistä tai muina esiintymistä",ei häirintää doksausta valheellisen tiedon levittämistä tai muina esiintymistä,non-Englsih
616,Ei roskapostia,ei roskapostia,non-Englsih
617,"Ei pornografista, seksuaalista tai ylettömän väkivaltaista sisältöä.",ei pornografista seksuaalista tai ylettömän väkivaltaista sisältöä,non-Englsih
618,"Prohibida cualquier muestra de acoso e incitación o promoción del odio
",prohibida cualquier muestra de acoso e incitación o promoción del odio,non-Englsih
619,"Prohibido publicar cualquier contenido de tipo sexual, drogas (como alcohol, tabaco, etc), trastornos alimenticios, etc sin su aviso de contenido y/o cualquier contenido multimedia sin su marca de contenido sensible",prohibido publicar cualquier contenido de tipo sexual drogas como alcohol tabaco etc trastornos alimenticios etc sin su aviso de contenido yo cualquier contenido multimedia sin su marca de contenido sensible,non-Englsih
620,Prohibido publicar cualquier contenido que sea ilegal en el estado Español,prohibido publicar cualquier contenido que sea ilegal en el estado español,non-Englsih
621,"Prohibido publicar spam o publicidad
",prohibido publicar spam o publicidad,non-Englsih
622,"No discrimination based on race, gender, sexual orientation, disability, ethnicity, religion, physical appearance, or national origin.",no discrimination based on race gender sexual orientation disability ethnicity religion physical appearance or national origin,English
623,"No xenophobia, violent nationalism, nazi symbolism, holocaust denialism, or promotion of violent ideologies.",no xenophobia violent nationalism nazi symbolism holocaust denialism or promotion of violent ideologies,English
624,"No stalking, harassment, dogpiling, doxxing, or brigading of users on this and/or other servers.",no stalking harassment dogpiling doxxing or brigading of users on this andor other servers,English
625,"No spam, including commerical promotional content, advertising, SEO. Accounts existing only for commerical products and/or services are not permitted.",no spam including commerical promotional content advertising seo accounts existing only for commerical products andor services are not permitted,English
